,PNFIC1,GrowthRate
2007-04-01,1983.497,2.1949273748873095
2007-07-01,2014.616,1.5567158024975525
2007-10-01,2045.689,1.5306045547464822
2008-01-01,2053.812,0.3962926527315829
2008-04-01,2057.975,0.20249110289274502
2008-07-01,2019.55,-1.8847775303388288
2008-10-01,1901.929,-6.000608001924121
2009-01-01,1758.633,-7.833183158586299
2009-04-01,1705.141,-3.08889974499444
2009-07-01,1695.222,-0.5834099555940188
2009-10-01,1706.564,0.6668286616379697
2010-01-01,1718.732,0.7104817326785327
2010-04-01,1775.333,3.2401201314813397
2010-07-01,1823.655,2.6854718059730143
2010-10-01,1859.421,1.9422419916463824
2011-01-01,1857.309,-0.11364829983994723
2011-04-01,1905.711,2.5726501349506767
2011-07-01,1995.353,4.596580975251722
2011-10-01,2046.64,2.537844704483392
2012-01-01,2099.256,2.5383572150982525
2012-04-01,2146.704,2.235064636019261
2012-07-01,2139.633,-0.3299323601621396
2012-10-01,2162.912,1.0821142908784578
2013-01-01,2196.264,1.5302273092408334
2013-04-01,2207.605,0.5150482482861549
2013-07-01,2248.212,1.822701615102423
2013-10-01,2302.178,2.3720397741638095
2014-01-01,2339.393,1.6035862633396583
2014-04-01,2406.416,2.8247009677684356
2014-07-01,2458.452,2.139337989174856
2014-10-01,2479.937,0.870127304921847
2015-01-01,2481.11,0.04728840592960343
2015-04-01,2498.351,0.6924873554657037
2015-07-01,2513.595,0.608308509600421
2015-10-01,2502.473,-0.44345564001288296
2016-01-01,2504.57,0.08376201772607708
2016-04-01,2525.941,0.8496603453709591
2016-07-01,2564.0,1.495487248920782
2016-10-01,2584.602,0.8002991864360683
2017-01-01,2610.431,0.9943810878300013
2017-04-01,2639.796,1.1186299644176738
2017-07-01,2665.246,0.959471960476176
2017-10-01,2728.927,2.361213059322452
2018-01-01,2805.277,2.7593794683896213
2018-04-01,2837.057,1.1264960943841484
2018-07-01,2854.55,0.6146965200272364
2018-10-01,2880.391,0.9011836350403476
2019-01-01,2899.84,0.6729514234920997
2019-04-01,2954.978,1.8835642765305498
2019-07-01,2983.489,0.9602215206452176
2019-10-01,2970.305,-0.4428779883664541
2020-01-01,2918.067,-1.7743230375533683
2020-04-01,2681.079,-8.470208533251695
2020-07-01,2796.634,4.219722573405306
2020-10-01,2875.442,2.778985039242251
2021-01-01,2939.916,2.217460795074819
2021-04-01,3010.859,2.3844410593022913
2021-07-01,2999.341,-0.38328222356838176
2021-10-01,3022.081,0.7553069061584657
2022-01-01,3110.067,2.869860243467538
2022-04-01,3163.406,1.7005025871436783
2022-07-01,3210.162,1.4672107919329602
2022-10-01,3265.979,1.7238161485738486
2023-01-01,3333.291,2.0400539601338608
2023-04-01,3421.757,2.6194057598686404
2023-07-01,3436.424,0.42772339664780157
2023-10-01,3482.993,1.34605858096901
2024-01-01,3496.025,0.37346271773239875
2024-04-01,3517.46,0.6112529431415555
2024-07-01,3547.627,0.8539791041432265
2024-10-01,3514.424,-0.9403286567991918
2025-01-01,3595.389,2.277654845830197
2025-04-01,3659.32,1.7625146641384692
2025-07-01,3687.843,0.7764396487271081
